"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CODE-ARDUINO";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"HEIGHT";"MANUFACTURER";"MANUFACTURER-PN";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";
"1";"-";"USB-MICRO";"ZX62-AB-5PA";"J5";"USB - micro AB USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle, Horizontal";"";"2219";"https://www.hirose.com/product/en/download_file/key_name/ZX/category/Catalog/doc_file_id/31704/?file_category_id=4&item_id=13&is_series=1";"";"http://www.digikey.com/product-detail/en/hirose-electric-co-ltd/ZX62-AB-5PA(31)/H125279CT-ND/5994741";"H125279CT-ND ";"";"Hirose";"ZX62-AB-5PA(31) ";"";"";"";"";"";"";"";"";"";"";"";"-";
"2";"0R";"CRG1206ZR";"RESC3116X65N";"R20, R21";"CRG1206 Surface mount chip resistor, 0R0 TE Connectivity CRG1206 Series Thick Film Surface Mount Resistor 1206 Case 0 +/-1% 0.25W";"";"";"";"CRG1206 Surface mount chip resistor, 0R0 TE Connectivity CRG1206 Series Thick Film Surface Mount Resistor 1206 Case 0 +/-1% 0.25W";"";"";"0.65mm";"";"";"TE Connectivity";"CRG1206ZR";"";"279-CRG1206ZR";"https://www.mouser.com/Search/Refine.aspx?Keyword=279-CRG1206ZR";"";"";"";"";"";"";"";
"3";"0R";"RMCF0402ZT0R00";"RESC1005X40N";"R5, R14, R34";"General Purpose Thick Film Surface Mount Chip Resistor";"";"";"";"General Purpose Thick Film Surface Mount Chip Resistor";"";"";"0.4mm";"";"";"Stackpole Electronics Inc.";"RMCF0402ZT0R00";"";"";"";"";"";"";"";"";"";"";
"17";"100n";"GCM155R71C104KA55J";"CAPC1005X55N";"C2, C18, C19, C21, C24, C27, C30, C31, C33, C34, C35, C38, C44, C45, C52, C53, C54";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 16Volts X7R 10%";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 16Volts X7R 10%";"";"";"0.55mm";"";"";"Murata Electronics";"GCM155R71C104KA55J";"";"";"";"";"";"";"";"";"";"";
"1";"100u";"GRM31CD80J107ME39K";"CAPC3216X180N";"C22";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 100uF 6.3volts *Derate Voltage/Temp";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 1206 100uF 6.3volts *Derate Voltage/Temp";"";"";"1.8mm";"";"";"Murata Electronics";"GRM31CD80J107ME39K";"";"81-GRM31CD80J107ME9K";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM31CD80J107ME9K";"";"";"";"";"";"";"";
"1";"1040310811";"1040310811";"1040310811";"J2";"MICRO SD card socket, push-pull 1.42H Normal type";"";"";"";"MICRO SD card socket, push-pull 1.42H Normal type";"";"";"mm";"";"";"Molex";"1040310811";"";"N/A";"https://www.mouser.com/Search/Refine.aspx?Keyword=N%2FA";"";"";"";"";"";"";"";
"1";"10R";"CRGCQ0402F10R";"RESC1005X35N";"R13";"Thick Film Resistors - SMD CRGCQ 0402 10R 1% SMD Resistor";"";"";"";"Thick Film Resistors - SMD CRGCQ 0402 10R 1% SMD Resistor";"";"";"0.35mm";"";"";"TE Connectivity / Holsworthy";"CRGCQ0402F10R";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"RNCP0603FTD10K0";"RESC1508X50N";"R4";"Res Thin Film 0603 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Sulfur Resistant Pad SMD T/R";"";"";"";"Res Thin Film 0603 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Sulfur Resistant Pad SMD T/R";"";"";"0.5mm";"";"";"Stackpole Electronics Inc.";"RNCP0603FTD10K0";"";"";"";"";"";"";"";"";"";"";
"15";"10k2";"CRCW040210K2FKED";"RESC1005X40N";"R1, R15, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R36, R40, R41";"CRCW0402 Resistor T/R 0.063W,1%,10K2 Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 10.2k +/-1% 0.063W +/-100ppm/C";"";"";"";"CRCW0402 Resistor T/R 0.063W,1%,10K2 Vishay CRCW Series Thick Film Surface Mount Resistor 0402 Case 10.2k +/-1% 0.063W +/-100ppm/C";"";"";"0.4mm";"";"";"Vishay";"CRCW040210K2FKED";"";"71-CRCW0402-10.2K-E3";"https://www.mouser.com/Search/Refine.aspx?Keyword=71-CRCW0402-10.2K-E3";"";"";"";"";"";"";"";
"2";"10n";"GCM155R71H103KA55D";"CAPC1005X55N";"C25, C40";"Ceramic  SMT capacitor 10nF 50Vdc";"";"";"";"Ceramic  SMT capacitor 10nF 50Vdc";"";"";"0.55mm";"";"";"Murata Electronics";"GCM155R71H103KA55D";"";"81-GCM155R71H103KA5D";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GCM155R71H103KA5D";"";"";"";"";"";"";"";
